id,categories
0,11
1,10
2,3
3,11
4,0
5,1
6,10
7,2
8,7
9,4
10,8
11,7
12,1
13,6
14,3
15,9
16,11
17,3
18,5
19,6
20,3
21,3
22,4
23,0
24,11
25,4
26,3
27,1
28,9
29,6
30,8
31,8
32,11
33,3
34,9
35,11
36,10
37,11
38,9
39,0
40,2
41,9
42,0
43,4
44,2
45,1
46,8
47,0
48,11
49,8
50,9
51,1
52,2
53,10
54,11
55,2
56,3
57,4
58,3
59,5
60,5
61,0
62,10
63,4
64,8
65,10
66,3
67,8
68,5
69,0
70,11
71,9
72,6
73,6
74,10
75,1
76,9
77,6
78,2
79,6
80,5
81,9
82,2
83,9
84,6
85,4
86,9
87,3
88,0
89,6
90,10
91,0
92,8
93,10
94,4
95,4
96,3
97,5
98,0
99,8
100,5
101,9
102,3
103,5
104,2
105,6
106,10
107,2
108,9
109,8
110,2
111,4
112,4
113,9
114,4
115,1
116,6
117,5
118,0
119,11
120,6
121,9
122,11
123,2
124,6
125,5
126,8
127,4
128,1
129,0
130,7
131,10
132,11
133,3
134,8
135,10
136,3
137,6
138,2
139,3
140,3
141,7
142,2
143,11
144,4
145,6
146,0
147,2
148,2
149,1
150,0
151,4
152,11
153,1
154,4
155,11
156,6
157,11
158,8
159,2
160,8
161,0
162,6
163,10
164,6
165,1
166,3
167,4
168,6
169,11
170,3
171,2
172,2
173,8
174,5
175,8
176,8
177,2
178,7
179,4
180,8
181,9
182,6
183,10
184,11
185,8
186,2
187,8
188,4
189,1
190,3
191,2
192,10
193,4
194,6
195,11
196,2
197,5
198,2
199,3
200,2
201,1
202,1
203,6
204,4
205,10
206,8
207,6
208,6
209,7
210,10
211,8
212,7
213,6
214,2
215,3
216,9
217,1
218,10
219,3
220,3
221,10
222,8
223,2
224,4
225,3
226,11
227,6
228,7
229,11
230,1
231,10
232,7
233,8
234,6
235,2
236,1
237,3
238,0
239,4
240,8
241,5
242,11
243,6
244,4
245,4
246,9
247,8
248,8
249,4
250,1
251,9
252,0
253,8
254,3
255,9
256,5
257,1
258,1
259,11
260,5
261,6
262,9
263,8
264,1
265,11
266,3
267,8
268,2
269,10
270,8
271,10
272,1
273,4
274,11
275,6
276,4
277,0
278,3
279,8
280,3
281,8
282,7
283,8
284,11
285,1
286,9
287,0
288,3
289,2
290,0
291,10
292,3
293,0
294,6
295,6
296,11
297,10
298,9
299,5
300,0
301,8
302,6
303,8
304,4
305,5
306,5
307,0
308,1
309,2
310,2
311,9
312,2
313,0
314,4
315,2
316,8
317,9
318,1
319,5
320,9
321,8
322,9
323,2
324,4
325,9
326,2
327,10
328,6
329,9
330,5
331,9
332,1
333,4
334,10
335,4
336,7
337,6
338,11
339,7
340,11
341,2
342,8
343,7
344,0
345,11
346,3
347,5
348,11
349,1
350,4
351,11
352,5
353,11
354,6
355,7
356,5
357,8
358,8
359,11
360,7
361,3
362,10
363,2
364,1
365,3
366,10
367,4
368,1
369,3
370,8
371,6
372,0
373,1
374,10
375,3
376,9
377,7
378,1
379,2
380,11
381,10
382,11
383,8
384,3
385,2
386,1
387,9
388,1
389,1
390,4
391,6
392,8
393,6
394,8
395,5
396,8
397,0
398,11
399,3
400,0
401,5
402,10
403,2
404,10
405,10
406,1
407,4
408,10
409,2
410,5
411,3
412,9
413,8
414,2
415,2
416,10
417,11
418,7
419,10
420,10
421,3
422,5
423,9
424,8
425,3
426,7
427,3
428,5
429,1
430,9
431,2
432,11
433,4
434,10
435,4
436,7
437,6
438,11
439,10
440,0
441,2
442,3
443,11
444,7
445,9
446,1
447,4
448,11
449,6
450,5
451,0
452,0
453,0
454,7
455,6
456,6
457,4
458,6
